θ,ω,θ_next,ω_next
0.7853981633974483,0.0,0.7853981633974483,-0.06936717523440031
0.774549462259685,-0.07254639747720444,0.773823998284913,-0.14115696169921815
0.7701720945723963,-0.12594419813942878,0.768912652591002,-0.1942471841482071
0.751683323982644,-0.19443749329846702,0.7497389490496593,-0.2614269876309163
0.7594644076013779,-0.25818759867078966,0.75688253161467,-0.32573269869041416
0.7408447523318785,-0.3382071412279092,0.7374626809195994,-0.40441595878958897
0.7361742082916279,-0.4191945109131623,0.7319822631824964,-0.48506451687175584
0.7208908405657404,-0.4745389391698409,0.7161454511740419,-0.5392902512143228
0.6992006787843038,-0.5363944066051975,0.6938367347182518,-0.599532167655644
0.6929357929895522,-0.5877107670806261,0.6870586853187459,-0.6503769150867363
0.6770886385983446,-0.6513661896452877,0.6705749767018917,-0.7128284458861591
0.6650041335351125,-0.7177282255409028,0.6578268512797034,-0.7782620455556056
0.66554656403621,-0.7714665479714382,0.6578318985564957,-0.8320422326989457
0.6570087578036854,-0.8326277208763234,0.6486824805949222,-0.8925423993189582
0.6555873566662642,-0.8864673851977625,0.6467226828142866,-0.9462715918327169
0.6477748510412734,-0.9416703023076247,0.6383581480181971,-1.000865167043843
0.6389033981652115,-0.9994461451287834,0.6289089367139237,-1.0579446959519487
0.6331229908882962,-1.0407991081214845,0.6227149998070813,-1.0988414783093179
0.6229368988961648,-1.1085933064283342,0.6118509658318815,-1.1658270958633754
0.6230336584605854,-1.1676410179817458,0.611357248280768,-1.2248825163443198
0.5992033488956494,-1.2463808421981664,0.5867395404736677,-1.3017077500735734
0.580692530773443,-1.2703513593376847,0.5679890171800661,-1.3241693216284836
0.5727879456646563,-1.3230457140312657,0.5595574885243436,-1.3762136697667011
0.5466273773089443,-1.3779463361428885,0.5328479139475154,-1.4289396008245445
0.5353854266431904,-1.4302393796976638,0.5210830328462138,-1.480287309010974
0.532538350872164,-1.4732226089887541,0.5178061247822764,-1.523030119266003
0.5071013569845079,-1.5403443554946448,0.49169791342956143,-1.587986171666628
0.4907084171102812,-1.592569778210363,0.47478271932817756,-1.6387994846058904
0.4849564541707359,-1.6574388069859722,0.4683820661008762,-1.7031700678095152
0.4759673139137975,-1.7033439448658976,0.4589338744651385,-1.748293213625418
0.46172098195879496,-1.751231959955026,0.4442086623592447,-1.7949344837258998
0.4304363527997003,-1.8065657780993163,0.4123706950187071,-1.8474997093015495
0.4186051251520479,-1.8526520806338347,0.4000786043457095,-1.8925283976501552
0.3926882630765249,-1.9036458786658739,0.37365180428986616,-1.9411861428590271
0.38819746230187663,-1.9463426562486872,0.36873403573938973,-1.9834755285738417
0.3840689746060178,-1.9836355842284275,0.36423261876373353,-2.0203932717588318
0.3697953562799114,-2.039374051480274,0.34940161576510864,-2.0748298076300933
0.3515180941886491,-2.0662776711565756,0.33085531747708335,-2.1000558033714247
0.3367973548110834,-2.09955004457605,0.31580185436532293,-2.131968766860415
0.30966233890788986,-2.115976091379938,0.28850257799409046,-2.1458707962856796
0.282768431207966,-2.1247008888111636,0.26152142231985437,-2.15207228012836
0.2521710846023766,-2.140093818318079,0.2307701464191958,-2.164570451619827
0.22576888006220894,-2.14149182266259,0.20435396183558305,-2.1634520762368443
0.20439550572468185,-2.144384890291741,0.18295165682176445,-2.1642967658471064
0.18785178062159144,-2.18368739464786,0.16601490667511284,-2.2020074617667262
0.17214261593491276,-2.2150388532229086,0.14999222740268367,-2.2318427640879843
0.14383764462917467,-2.2214640193549493,0.12162300443562518,-2.2355258867082917
0.12100688096586738,-2.246351994795144,0.09854336101791594,-2.2581938210562416
0.09382363160163812,-2.2605652571452035,0.07121797903018609,-2.269755857595027
0.07690813306076286,-2.250214066210817,0.054405992398654686,-2.2577513186334923
0.05377621755619176,-2.261437802759318,0.03116183952859858,-2.266710707407907
0.01692905241308881,-2.274665292837707,-0.005817600515288263,-2.2763259535545406
-0.013303959599361077,-2.277227680691227,-0.036076236406273346,-2.275922600754169
-0.04291056360780002,-2.2692892062658228,-0.06560345567045825,-2.265080971701982
-0.0650456877843796,-2.2545929806545124,-0.08759161759092472,-2.2482164973246563
-0.09499358204963008,-2.2427932913124486,-0.11742151496275458,-2.2334884298315836
-0.12928030476556934,-2.23187009784718,-0.15159900574404114,-2.2192229980980818
-0.16585100738845238,-2.2370472078500874,-0.18822147946695325,-2.220851710047379
-0.20263823678449233,-2.2195800702157746,-0.22483403748665007,-2.1998370249461052
-0.23348628966838114,-2.219819255360276,-0.2556844822219839,-2.1971217980964894
-0.2701034972730055,-2.19088961108814,-0.29201239338388685,-2.1647134720437218
-0.2989948419230579,-2.1430770995023836,-0.32042561291808175,-2.114180783775096
-0.30493839227545344,-2.1042591267033175,-0.3259809835424866,-2.0748061310529757
-0.33928043122084317,-2.065598053326545,-0.3599364117541086,-2.03294952681779
-0.3644343945185745,-2.042280492248097,-0.38485719944105545,-2.007315602753718
-0.396790250553753,-2.003599180437681,-0.4168262423581298,-1.9656874577356398
-0.40975931705468277,-1.9764290657309507,-0.4295236077119923,-1.9373471459250082
-0.4402432783556719,-1.9227550623563807,-0.4594708289792357,-1.8809488096227704
-0.4543613871697126,-1.8884541102086383,-0.47324592827179895,-1.845399140195232
-0.47560819306013835,-1.8597807812843108,-0.49420600087298144,-1.8148628293880475
-0.49607122901239076,-1.8375929093119607,-0.5144471581055103,-1.7908998573078228
-0.5239438507996781,-1.7720344099371523,-0.5416641948990496,-1.722955096272426
-0.5207750086516215,-1.7264738299641311,-0.5380397469512628,-1.6776639242277844
-0.5313741510290221,-1.6753240272720267,-0.5481273913017424,-1.6256149433286138
-0.5365311517019336,-1.6271334089068161,-0.5528024857910017,-1.5769888441238278
-0.5428667949409981,-1.6109814463667909,-0.558976609404666,-1.5603036975448628
-0.5401081156385154,-1.5633077987646147,-0.5557411936261615,-1.512861961296336
-0.5544119160604173,-1.5088956459322385,-0.5695008725197397,-1.4572515487539142
-0.5573958416547217,-1.459967408709423,-0.571995515741816,-1.4080746656546426
-0.5710130616846998,-1.403619647812705,-0.5850492581628268,-1.3505981017545914
-0.5933360019254984,-1.3441753429333598,-0.606777755354832,-1.289324695659068
-0.5957003233044739,-1.2882550884488886,-0.6085828741889627,-1.2332122978980935
-0.6170049444257419,-1.2451558261181848,-0.6294565026869238,-1.1883956618244929
-0.6155581226911339,-1.197125741369338,-0.6275293801048273,-1.140481399305067
-0.635327396515971,-1.1414530139927201,-0.6467419266558982,-1.083236445984281
-0.6459402981145393,-1.0843931567085656,-0.656784229681625,-1.0253419044184067
-0.646938449805497,-1.0351301359561518,-0.6572897511650585,-0.9760007216890606
-0.6587005784084762,-0.9724426485592973,-0.6684250048940692,-0.9123966390148007
-0.6855451193261258,-0.9106877883179761,-0.6946519972093056,-0.8485811621193577
-0.6878796291078204,-0.8600258170741578,-0.696479887278562,-0.7977420853894971
-0.6905931485458325,-0.8079751886052913,-0.6986729004318855,-0.7454860248520179
-0.692911477261114,-0.7596626969270377,-0.7005081042303843,-0.6969983841832756
-0.700664030211942,-0.7155046540973239,-0.7078190767529152,-0.6522570900528889
-0.7069245293276911,-0.6540275109830651,-0.7134648044375218,-0.5903117206603624
-0.7177179448232802,-0.5901611045142129,-0.7236195558684223,-0.525643942939312
-0.727894244362655,-0.5179916259671498,-0.7330741606223266,-0.4527257938271555
-0.7333453860115465,-0.43641930682416596,-0.7377095790797882,-0.3707552090633698
-0.7516749475196245,-0.365986776439066,-0.7553348152840151,-0.29899788241668795
-0.7510005748390106,-0.3245485374347301,-0.7542460602133579,-0.2576079886220322
-0.752078403612911,-0.2411077712839854,-0.7544894813257509,-0.17408996839784574
-0.7711981330083595,-0.18115221075409713,-0.7730096551159005,-0.1127770119241432
-0.7743808529837707,-0.11279771257532999,-0.775508830109524,-0.044198971472818344
-0.7575180144961566,-0.048832108642081644,-0.7580063355825775,0.0185743920543786
-0.7691852143226766,0.03929385151342392,-0.7687922758075424,0.10752731282000415
-0.7754028042970711,0.10786653109016954,-0.7743241389861694,0.1765369029319741
-0.776277787788027,0.18713155052487257,-0.7744064722827783,0.25586319483275116
-0.7823116536899843,0.2515246993379153,-0.7797964066966052,0.32067744203812
-0.7776530389726034,0.3315974998189109,-0.7743370639744143,0.400425342469193
-0.7701734160865615,0.41584373722616585,-0.7660149787142999,0.4841468162896787
-0.7548801609431477,0.47001547730535786,-0.7501800061700941,0.5372337335036645
-0.7452395687728174,0.5374721640911938,-0.7398648471319055,0.603998472601017
-0.7347320457939132,0.6019130049745738,-0.7287129157441674,0.6676781025898525
-0.7214125126181223,0.6621335125292338,-0.7147911774928299,0.7269232601161046
-0.7237761576901182,0.7263886780650817,-0.7165122709094673,0.7913523522543338
